City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
303,cameron,26.117,-97.5169,28.98,16,0,12.86,US,1707081235
304,jeanerette,29.911,-91.6635,20.6,52,0,5.18,US,1707081235
305,sale,34.0389,-6.8166,15.35,100,75,0.0,MA,1707081235
306,kailua-kona,19.6406,-155.9956,26.27,68,75,3.6,US,1707081236
307,woolgoolga,-30.1106,153.2007,25.93,83,78,4.58,AU,1707081236
308,haiku-pauwela,20.9219,-156.3051,23.47,69,40,8.23,US,1707081184
309,yelizovo,53.1873,158.3805,-12.89,65,20,1.0,RU,1707081237
310,kirakira,-10.4544,161.9205,28.05,83,67,4.79,SB,1707081238
311,susuman,62.7833,148.1667,-28.9,99,100,1.34,RU,1707081238
312,cammarata,37.6299,13.6315,5.86,69,0,2.27,IT,1707081238
313,hell-ville,-13.4,48.2667,27.36,78,91,0.9,MG,1707081239
314,energetik,51.7445,58.7934,-1.09,95,100,9.33,RU,1707081239
315,prince rupert,54.3161,-130.3201,4.05,75,0,8.75,CA,1707081240
316,kasongo-lunda,-6.4667,16.8167,22.14,97,100,0.61,CD,1707081240
317,mamadysh,55.7152,51.408,-3.4,98,100,5.16,RU,1707081240
318,fayzabad,37.1166,70.58,-5.68,67,5,3.28,AF,1707081241
319,mendaha,-1.0333,103.5833,24.64,93,100,1.59,ID,1707081241
320,mata-utu,-13.2816,-176.1745,28.6,75,100,4.15,WF,1707081165
321,mildura,-34.2,142.15,21.71,46,100,4.24,AU,1707080787
322,hoeryong,42.4428,129.7508,-11.43,70,100,1.65,KP,1707081242
323,mount pearl,47.5166,-52.7813,1.19,97,100,10.8,CA,1707081186
324,portland,45.5234,-122.6762,14.38,62,20,4.47,US,1707081031
325,khandyga,62.6667,135.6,-43.83,100,72,0.68,RU,1707081100
326,auki,-8.7676,160.7034,26.99,87,91,4.32,SB,1707081244
327,hithadhoo,-0.6,73.0833,28.25,78,67,5.82,MV,1707081244
328,castlegar,49.2998,-117.6689,8.5,97,100,1.17,CA,1707081245
329,olyokminsk,60.3736,120.4264,-35.11,100,63,0.5,RU,1707081245
330,qarqaraly,49.4058,75.4742,-12.17,90,97,3.46,KZ,1707081246
331,minbu,20.1833,94.8833,17.95,47,0,1.38,MM,1707081246
332,nar'yan-mar,67.6713,53.087,-19.38,91,87,3.13,RU,1707081196
333,viransehir,37.2353,39.7631,4.0,95,100,1.51,TR,1707081247
334,hirara,24.8,125.2833,22.29,90,93,6.59,JP,1707081247
335,el abiodh sidi cheikh,32.893,0.5484,8.62,48,0,1.64,DZ,1707081161
336,luderitz,-26.6481,15.1594,19.12,85,5,3.85,NA,1707081248
337,codrington,-38.2667,141.9667,16.15,68,91,5.98,AU,1707081135
338,charters towers,-20.1,146.2667,24.47,79,100,3.98,AU,1707081249
339,miguel ahumada,30.6167,-106.5167,14.13,24,2,4.91,MX,1707081250
340,yamada,39.4667,141.95,-0.8,65,31,2.48,JP,1707081250
341,rio grande,-32.035,-52.0986,28.06,85,49,6.88,BR,1707080893
342,bolu,40.6667,31.5833,1.44,99,100,1.85,TR,1707081251
343,island harbour,50.724,-1.2758,10.18,92,82,4.02,GB,1707081251
344,letterkenny,54.95,-7.7333,11.94,85,100,9.11,IE,1707081110
345,pundong,-7.9522,110.3486,23.88,96,100,1.32,ID,1707081252
